EmployeeID,Age,Gender,EducationLevel,YearsOfExperience,JobRole,SkillsScore,Certifications,CompanyType,WorkHoursPerWeek,Salary
1,59,Male,Bachelor,29,Tester,3,4,MNC,46,1353645
2,49,Female,Bachelor,7,Tester,6,5,Medium Scale,43,741773
3,35,Female,Master,19,Developer,8,9,Medium Scale,41,1231578
4,28,Male,PhD,31,Designer,9,8,MNC,46,1726596
5,41,Female,Bachelor,21,Data Analyst,6,7,Startup,49,1141500
6,59,Female,Bachelor,6,Designer,5,6,Startup,42,619874
7,39,Female,Master,8,Designer,2,4,MNC,51,783767
8,43,Female,PhD,0,Designer,2,2,Medium Scale,39,592188
9,31,Male,Bachelor,28,Developer,9,8,Medium Scale,48,1421825
10,31,Male,Bachelor,7,Developer,2,4,Medium Scale,36,630913
11,44,Female,Bachelor,3,Data Analyst,2,2,Medium Scale,50,496215
12,56,Male,PhD,34,Designer,3,2,MNC,51,1643733
13,44,Female,Bachelor,2,Developer,3,2,Medium Scale,37,479332
14,23,Female,Bachelor,6,Data Analyst,4,5,MNC,57,734895
15,42,Female,Master,26,Data Analyst,7,0,Startup,35,1259432
16,22,Female,Master,0,Designer,9,10,MNC,52,717559
17,44,Female,Bachelor,26,Manager,2,3,Medium Scale,52,1206570
18,50,Male,PhD,15,Designer,4,7,Startup,38,1070033
19,58,Female,Bachelor,6,Manager,9,2,MNC,49,731103
20,22,Male,Master,22,Data Analyst,2,4,MNC,53,1233780
21,41,Male,Bachelor,10,Developer,10,1,MNC,53,906510
22,53,Female,Master,32,Tester,1,1,Startup,44,1370900
23,32,Female,Bachelor,35,Data Analyst,10,10,MNC,39,1748415
24,42,Female,PhD,16,Developer,8,6,Medium Scale,53,1152031
25,45,Female,Master,34,Data Analyst,9,9,Startup,45,1632633
26,47,Female,Master,4,Designer,7,2,Startup,41,673639
27,48,Male,Master,31,Manager,8,4,MNC,39,1573192
28,36,Female,Master,2,Data Analyst,4,2,Medium Scale,54,569940
29,35,Female,Bachelor,34,Developer,4,5,Startup,46,1471287
30,23,Male,Bachelor,13,Designer,2,9,MNC,53,908988
31,57,Male,PhD,30,Tester,8,2,Medium Scale,49,1568067
32,27,Female,Bachelor,30,Designer,2,7,MNC,46,1402952
33,41,Male,Master,16,Manager,9,1,MNC,38,1112369
34,29,Female,PhD,23,Designer,4,2,Startup,46,1255862
35,59,Male,Bachelor,22,Tester,1,7,Startup,52,1047977
36,38,Male,Master,17,Developer,4,7,MNC,51,1150114
37,24,Female,Bachelor,13,Data Analyst,3,0,Startup,53,773493
38,45,Male,Master,14,Manager,6,7,Startup,50,1004641
39,34,Male,Bachelor,14,Tester,7,9,Medium Scale,45,956268
40,29,Male,Bachelor,5,Manager,8,1,Medium Scale,36,668929
41,46,Male,Master,26,Designer,2,6,MNC,50,1384431
42,22,Male,Master,14,Manager,6,5,MNC,35,1036756
43,40,Male,Master,35,Tester,6,1,MNC,51,1630764
44,48,Female,Master,7,Data Analyst,10,4,MNC,52,919912
45,27,Female,Bachelor,14,Data Analyst,5,6,Medium Scale,59,935385
46,28,Male,Master,2,Manager,10,7,Startup,47,665032
47,55,Female,Bachelor,12,Developer,10,2,Medium Scale,39,899478
48,34,Female,PhD,33,Manager,7,0,MNC,59,1680702
49,37,Female,Master,23,Designer,3,6,MNC,58,1266885
